user_id,airport_id
230,1746
231,19073
232,39318
233,46098
234,3415
235,31533
236,5846
237,19929
238,20787
239,2827
240,319607
241,34958
242,20287
243,2508
244,5257
245,32544
246,34982
247,28418
248,389
249,1298
250,4972
251,5014
252,42059
253,982
254,336951
255,3358
256,301240
257,41486
258,42977
259,908
260,10985
261,3084
262,7506
263,299629
264,3956
265,32682
266,2568
267,2391
268,32230
269,307890
270,1216
271,30987
272,313211
273,44007
274,27610
275,35087
276,28591
277,35067
278,20703
279,43992
280,1005
281,35136
282,4644
283,30615
284,316586
285,15835
286,3301
287,29033
288,5302
289,5921
290,31846
291,6472
292,32630
293,332685
294,6239
295,4363
296,21293
297,19712
298,34943
299,1920
300,16262
301,19373
302,2856
303,5830
304,26853
305,29282
306,35258
307,512065
308,32675
309,28165
310,2083
311,19006
312,2487
313,1352
314,697
315,1848
316,19308
317,319147
318,968
319,9114
320,1111
321,315194
322,5272
323,28417
324,5343
325,3491
326,331500
327,1661
328,2933
329,309714
330,1072
331,5963
332,1537
333,3262
334,3753
335,4991
336,7437
337,20848
338,3473
339,5969
340,20771
341,311598
342,19974
343,28165
344,354173
345,5232
346,4331
347,5933
348,18797
349,42925
350,3356
351,26902
352,4449
353,43210
354,29036
355,3876
356,324981
357,19615
358,24380
359,21402
360,323907
361,83
362,4571
363,3564
364,2077
365,1263
366,2880
367,3074
368,26742
369,6471
370,35019
371,27052
372,337018
373,5533
374,42059
375,35145
376,20776
377,18837
378,1776
379,4458
380,4792
381,2008
382,19947
383,1900
384,43340
385,26604
386,2942
387,4025
388,4431
389,3656
390,333070
391,3205
392,18783
393,28880
394,3452
395,42957
396,2702
397,4571
398,19265
399,3604
400,5623
401,21403
402,4914
403,44068
404,27175
405,19912
406,878
407,35087
408,321894
409,25595
410,5893
411,20180
412,316933
413,1693
414,4535
415,35196
416,19482
417,21214
418,309713
419,30285
420,3193
421,3778
422,2887
423,30705
424,321538
425,4574
426,10622
427,26649
428,300456
429,29109
430,2132
431,6215
432,1879
433,5726
434,4637
435,3660
436,14836
437,19073
438,28672
439,6347
440,21264
441,5747
442,1493
443,34972
444,4489
445,20091
446,31715
447,28922
448,26398
449,39079
450,340356
451,20844
452,1396
453,316586
454,19076
455,4936
456,3382
457,27162
458,30334
459,1123
460,322934
461,20819
462,300795
463,32703
464,26742
465,21326
466,1066
467,590
468,5598
469,318502
470,1814
471,18716
472,28264
473,19552
474,317721
475,19901
476,1680
477,23899
478,28186
479,15920
480,337041
481,19463
482,346800
483,16501
484,11364
485,8271
486,338650
487,20110
488,1958
489,28833
490,300228
491,28119
492,18604
493,1285
494,27622
495,321894
496,20900
497,31111
498,1876
499,3232
500,314969
501,20481
502,1882
503,27967
504,20208
505,26895
506,2296
507,19510
508,301872
509,32096
510,6468
511,1771
512,308298
513,26387
514,42047
515,508580
516,19668
517,6381
518,46514
519,3525
520,311056
521,308149
522,8566
523,6485
524,756
525,30418
526,1711
527,24337
528,20796
529,1853
530,20273
531,21048
532,1263
533,20567
534,27300
535,42968
536,42959
537,6039
538,634
539,5081
540,19852
541,17191
542,32311
543,320795
544,4715
545,28223
546,328934
547,35125
548,3690
549,307094
550,26704
551,332449
552,27756
553,43020
554,3984
555,4373
556,26843
557,326019
558,31517
559,39682
560,30456
561,29120
562,42930
563,5616
564,46207
565,4520
566,7
567,19236
568,42971
569,3617
570,320333
571,44427
572,5737
573,2893
574,41047
575,20087
576,3579
577,29781
578,4509
579,2202
580,6481
581,19493
582,5373
583,744
584,313720
585,39280
586,21443
587,30663
588,16117
589,3407
590,21000
591,46524
592,46171
593,4421
594,4161
595,5097
596,19377
597,312880
598,31550
599,1900
600,3657
601,1493
602,31488
603,5050
604,20315
605,5429
606,3373
607,25692
608,322796
609,28887
610,1123
611,35108
612,313629
613,28257
614,42997
615,28453
616,325130
617,318775
618,30621
619,318171
620,2393
621,1570
622,945
623,4297
624,1689
625,28114
626,302134
627,4799
628,46641
629,31670
630,19574
631,28412
632,15292
633,9414
634,5906
635,18615
636,5521
637,1498
638,3956
639,5916
640,4125
641,28411
642,2404
643,4330
644,342663
645,6453
646,30819
647,322934
648,6036
649,30106
650,8636
651,2528
652,307934
653,28127
654,4434
655,1765
656,4360
657,1659
658,4753
659,3154
660,20115
661,3742
662,45703
663,5127
664,510128
665,44146
666,30704
667,26400
668,3196
669,4178
670,19010
671,20595
672,28121
673,27252
674,326021
675,2872
676,29728
677,319091
678,8644
679,2505
680,5930
681,5561
